Id_cliente;Genero;Adulto_mayor;Tiene_pareja;Dependientes;Permanencia;ServicioTelefonico;LineasMultiples;ServicioInternet;SeguridadLinea;CopiaSeguridad;ProteccionDispositivo;SoporteTecnico;StreamingTV;StreamingPelicula;Contrato;FacturacionSpapel;MetodoPago;CargosMensuales;CargosTotales;Abandono
5698-BQJOH;Femenina;0;No;No;9;Si;Si;Fibra optica;No;No;No;No;Si;Si;Mes a mes;No;Cheque electronico;944;85725;Si
5122-CYFXA;Femenina;0;No;No;3;Si;No;DSL;No;Si;No;Si;Si;Si;Mes a mes;Si;Cheque electronico;753;2441;No
8627-ZYGSZ;Masculino;0;Si;No;47;Si;Si;Fibra optica;No;Si;No;No;No;No;Un año;Si;Cheque electronico;789;365035;No
3410-YOQBQ;Femenina;0;No;No;31;Si;No;DSL;No;Si;Si;Si;Si;Si;Dos años;No;Cheque enviado por correo;792;24972;No
3170-NMYVV;Femenina;0;Si;Si;50;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Transferencia bancaria (automática);2015;9309;No
7410-OIEDU;Masculino;0;No;No;10;Si;No;Fibra optica;Si;No;Si;No;No;No;Mes a mes;Si;Cheque enviado por correo;7985;88735;No
2273-QCKXA;Masculino;0;No;No;1;Si;No;DSL;No;No;No;Si;No;No;Mes a mes;No;Cheque enviado por correo;4905;4905;No
0731-EBJQB;Femenina;0;Si;Si;52;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Un año;Si;Cheque electronico;204;109065;No
1891-QRQSA;Masculino;1;Si;Si;64;Si;Si;Fibra optica;Si;No;Si;Si;Si;Si;Dos años;Si;Transferencia bancaria (automática);1116;7099;No
8028-PNXHQ;Masculino;0;Si;Si;62;Si;Si;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;Si;Transferencia bancaria (automática);2425;14246;No
5630-AHZIL;Femenina;0;No;Si;3;Si;No;DSL;Si;No;No;Si;No;Si;Mes a mes;Si;Transferencia bancaria (automática);645;1774;No
2673-CXQEU;Femenina;1;No;No;56;Si;Si;Fibra optica;Si;Si;Si;No;Si;Si;Un año;No;Cheque electronico;1105;61395;No
6416-JNVRK;Femenina;0;No;No;46;Si;No;DSL;No;No;No;No;No;Si;Un año;No;Tarjeta de crédito (automática);5565;268885;No
5590-ZSKRV;Femenina;0;Si;Si;8;Si;No;DSL;Si;Si;No;No;No;No;Mes a mes;No;Cheque enviado por correo;5465;48225;No
0191-ZHSKZ;Masculino;1;No;No;30;Si;No;DSL;Si;Si;No;No;Si;Si;Mes a mes;Si;Cheque electronico;7475;21113;No
3887-PBQAO;Femenina;0;Si;Si;45;Si;Si;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Un año;Si;Tarjeta de crédito (automática);259;12166;No
5919-TMRGD;Femenina;0;No;Si;1;Si;No;Fibra optica;No;No;No;No;Si;No;Mes a mes;Si;Cheque electronico;7935;7935;Si
8108-UXRQN;Femenina;0;Si;Si;11;No;No hay servicio telefónico;DSL;Si;No;No;No;Si;Si;Mes a mes;No;Cheque electronico;5055;56535;No
9191-MYQKX;Femenina;0;Si;No;7;Si;No;Fibra optica;No;No;Si;No;No;No;Mes a mes;Si;Transferencia bancaria (automática);7515;4969;Si
9919-YLNNG;Femenina;0;No;No;42;Si;No;Fibra optica;No;Si;Si;Si;Si;Si;Mes a mes;Si;Transferencia bancaria (automática);1038;43275;No
0318-ZOPWS;Femenina;0;Si;No;49;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;Si;Transferencia bancaria (automática);2015;97335;No
4445-ZJNMU;Masculino;0;No;No;9;Si;Si;Fibra optica;No;Si;No;No;Si;Si;Mes a mes;Si;Tarjeta de crédito (automática);993;91875;No
4808-YNLEU;Femenina;0;Si;No;35;Si;No;DSL;Si;No;No;No;Si;No;Un año;Si;Transferencia bancaria (automática);6215;221545;No
1862-QRWPE;Femenina;0;Si;Si;48;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Transferencia bancaria (automática);2065;1057;No
2796-NNUFI;Femenina;0;Si;Si;46;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;Si;Cheque enviado por correo;1995;9271;No
3016-KSVCP;Masculino;0;Si;No;29;No;No hay servicio telefónico;DSL;No;No;No;No;Si;No;Mes a mes;No;Cheque enviado por correo;3375;100925;No
4767-HZZHQ;Masculino;0;Si;Si;30;Si;No;Fibra optica;No;Si;Si;No;No;No;Mes a mes;No;Transferencia bancaria (automática);8205;25702;No
2424-WVHPL;Masculino;1;No;No;1;Si;No;Fibra optica;No;No;No;Si;No;No;Mes a mes;No;Cheque electronico;747;747;No
7233-PAHHL;Masculino;0;Si;Si;66;Si;Si;DSL;Si;No;Si;Si;Si;Si;Dos años;Si;Cheque enviado por correo;84;571425;No
6067-NGCEU;Femenina;0;No;No;65;Si;Si;Fibra optica;Si;Si;Si;No;Si;Si;Mes a mes;Si;Tarjeta de crédito (automática);11105;7107;No
9848-JQJTX;Masculino;0;No;No;72;Si;Si;Fibra optica;No;Si;Si;No;Si;Si;Dos años;Si;Transferencia bancaria (automática);1009;745905;No
8637-XJIVR;Femenina;0;No;No;12;Si;Si;Fibra optica;Si;No;No;No;No;No;Mes a mes;Si;Cheque electronico;7895;92735;Si
9803-FTJCG;Masculino;0;Si;Si;71;Si;Si;DSL;Si;Si;No;Si;No;No;Un año;Si;Tarjeta de crédito (automática);6685;47487;No
0278-YXOOG;Masculino;0;No;No;5;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Mes a mes;No;Cheque enviado por correo;2105;11385;Si
3212-KXOCR;Masculino;0;No;No;52;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Transferencia bancaria (automática);21;11072;No
4598-XLKNJ;Femenina;1;Si;No;25;Si;No;Fibra optica;No;Si;Si;No;Si;Si;Mes a mes;Si;Cheque electronico;985;25145;Si
6380-ARCEH;Masculino;0;No;No;1;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Mes a mes;No;Cheque enviado por correo;202;202;No
3679-XASPY;Femenina;0;Si;Si;1;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Mes a mes;No;Cheque electronico;1945;1945;No
7123-WQUHX;Masculino;0;No;No;38;Si;Si;Fibra optica;No;No;Si;Si;Si;No;Un año;No;Transferencia bancaria (automática);95;36056;No
5386-THSLQ;Femenina;1;Si;No;66;No;No hay servicio telefónico;DSL;No;Si;Si;No;Si;No;Un año;No;Transferencia bancaria (automática);4555;302725;No
3192-NQECA;Masculino;0;Si;No;68;Si;Si;Fibra optica;No;Si;Si;Si;Si;Si;Dos años;Si;Transferencia bancaria (automática);110;761185;Si
6180-YBIQI;Masculino;0;No;No;5;No;No hay servicio telefónico;DSL;No;No;No;No;No;No;Mes a mes;No;Cheque enviado por correo;243;1002;No
6728-DKUCO;Femenina;0;Si;Si;72;Si;Si;Fibra optica;Si;Si;No;No;Si;Si;Un año;Si;Cheque electronico;10415;730305;No
9750-BOOHV;Femenina;0;No;No;32;No;No hay servicio telefónico;DSL;Si;No;No;No;No;No;Un año;No;Cheque enviado por correo;3015;92765;No
8597-CWYHH;Masculino;0;No;No;43;Si;Si;Fibra optica;No;No;No;No;Si;Si;Un año;No;Cheque enviado por correo;9435;39213;No
2848-YXSMW;Masculino;0;Si;Si;72;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Tarjeta de crédito (automática);194;136325;No
0486-HECZI;Masculino;0;Si;No;55;Si;Si;Fibra optica;Si;Si;No;No;Si;No;Mes a mes;Si;Cheque electronico;9675;52389;Si
4549-ZDQYY;Femenina;0;No;No;52;Si;No;DSL;Si;No;Si;Si;No;No;Un año;No;Tarjeta de crédito (automática);5795;304225;No
5712-AHQNN;Femenina;0;No;No;43;Si;No;Fibra optica;No;Si;Si;No;Si;No;Mes a mes;Si;Cheque electronico;9165;39541;No
4846-WHAFZ;Femenina;1;Si;No;37;Si;Si;Fibra optica;No;No;No;No;No;No;Mes a mes;Si;Cheque electronico;765;286815;Si
5256-SKJGO;Femenina;0;Si;Si;64;No;No hay servicio telefónico;DSL;No;Si;No;Si;Si;Si;Dos años;Si;Cheque electronico;546;34235;No
3071-VBYPO;Masculino;0;Si;Si;3;Si;No;Fibra optica;Si;Si;No;No;Si;No;Mes a mes;No;Cheque electronico;8985;2484;No
9560-BBZXK;Femenina;0;No;No;36;No;No hay servicio telefónico;DSL;Si;No;No;No;No;No;Dos años;No;Transferencia bancaria (automática);3105;112635;No
5299-RULOA;Femenina;0;Si;Si;10;Si;Si;Fibra optica;Si;No;No;No;Si;Si;Mes a mes;Si;Cheque electronico;10025;106465;Si
8402-OOOHJ;Femenina;0;No;No;41;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Cheque enviado por correo;2065;83515;No
9445-ZUEQE;Masculino;0;Si;Si;27;Si;Si;Fibra optica;No;Si;No;Si;No;No;Mes a mes;Si;Tarjeta de crédito (automática);852;21516;No
1091-SOZGA;Femenina;0;Si;Si;56;Si;Si;Fibra optica;No;No;Si;No;Si;Si;Un año;Si;Tarjeta de crédito (automática);998;551545;No
2928-HLDBA;Femenina;0;No;No;6;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Mes a mes;No;Cheque enviado por correo;207;11275;No
0404-SWRVG;Masculino;0;No;No;3;Si;Si;Fibra optica;No;No;No;No;No;No;Mes a mes;Si;Cheque electronico;744;22955;Si
6497-TILVL;Femenina;0;Si;Si;7;Si;No;DSL;Si;No;No;No;No;No;Mes a mes;No;Cheque enviado por correo;507;35035;No
7219-TLZHO;Femenina;0;Si;Si;4;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Mes a mes;No;Cheque enviado por correo;2085;629;No
4622-YNKIJ;Masculino;0;No;No;33;Si;No;Fibra optica;Si;No;No;Si;Si;No;Dos años;Si;Cheque electronico;8895;302765;No
4412-YLTKF;Femenina;1;No;No;27;Si;Si;Fibra optica;No;No;Si;No;No;No;Mes a mes;Si;Cheque electronico;7805;21355;Si
6734-PSBAW;Masculino;0;Si;No;72;Si;Si;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;Si;Transferencia bancaria (automática);2355;172395;No
3930-ZGWVE;Masculino;0;No;No;1;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Mes a mes;No;Cheque enviado por correo;1975;1975;No
2639-UGMAZ;Masculino;1;No;No;71;No;No hay servicio telefónico;DSL;Si;Si;No;No;Si;Si;Un año;Si;Cheque electronico;5645;398535;No
2876-GZYZC;Femenina;0;No;No;13;Si;Si;Fibra optica;No;No;No;No;No;Si;Mes a mes;Si;Cheque electronico;8595;121565;No
6207-WIOLX;Femenina;0;Si;Si;25;No;No hay servicio telefónico;DSL;Si;Si;Si;No;Si;Si;Mes a mes;Si;Tarjeta de crédito (automática);586;150265;Si
8587-XYZSF;Masculino;0;No;No;67;Si;No;DSL;No;No;No;Si;No;No;Dos años;No;Transferencia bancaria (automática);5055;32601;No
3091-FYHKI;Masculino;0;No;No;1;No;No hay servicio telefónico;DSL;No;No;No;No;No;Si;Mes a mes;Si;Cheque electronico;3545;3545;Si
2372-HWUHI;Masculino;0;No;No;2;Si;No;DSL;No;No;No;No;No;No;Mes a mes;No;Cheque electronico;4435;8125;Si
7799-LGRDP;Femenina;0;No;No;43;Si;Si;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;Si;Tarjeta de crédito (automática);257;11882;No
7850-VWJUU;Femenina;0;No;No;23;Si;No;Fibra optica;Si;No;No;No;No;No;Mes a mes;Si;Transferencia bancaria (automática);75;17785;No
3774-VBNXY;Femenina;0;Si;Si;64;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Cheque enviado por correo;202;127775;No
6217-KDYWC;Masculino;0;No;Si;57;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;Si;Cheque enviado por correo;196;117055;No
0390-DCFDQ;Femenina;1;Si;No;1;Si;No;Fibra optica;No;No;No;No;No;No;Mes a mes;Si;Cheque enviado por correo;7045;7045;Si
3146-MSEGF;Femenina;1;Si;Si;72;Si;Si;DSL;Si;Si;Si;Si;Si;Si;Dos años;Si;Tarjeta de crédito (automática);8805;642565;No
4080-OGPJL;Femenina;0;No;No;8;Si;Si;DSL;Si;No;No;Si;No;Si;Mes a mes;No;Cheque electronico;7115;56365;Si
1095-WGNGG;Femenina;0;Si;No;61;Si;Si;Fibra optica;No;Si;No;No;Si;Si;Dos años;Si;Transferencia bancaria (automática);10105;597125;No
2636-SJDOU;Masculino;0;No;No;64;Si;Si;Fibra optica;Si;Si;No;No;No;No;Un año;Si;Tarjeta de crédito (automática);843;528905;No
1131-QQZEB;Masculino;1;Si;No;71;Si;Si;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Transferencia bancaria (automática);2395;17562;No
5716-EZXZN;Femenina;0;Si;Si;65;Si;Si;Fibra optica;Si;Si;No;Si;Si;No;Dos años;Si;Tarjeta de crédito (automática);9905;64167;No
6837-BJYDQ;Masculino;0;No;No;3;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Un año;No;Cheque enviado por correo;196;6135;No
2135-RXIHG;Masculino;0;No;No;1;Si;No;DSL;No;No;No;No;No;No;Mes a mes;Si;Cheque electronico;4565;4565;Si
6440-DKQGE;Masculino;0;No;Si;30;Si;No;DSL;No;Si;Si;No;Si;No;Un año;No;Tarjeta de crédito (automática);645;192995;No
3466-BYAVD;Masculino;0;Si;Si;15;Si;No;DSL;No;Si;Si;Si;No;Si;Mes a mes;Si;Cheque enviado por correo;695;10714;No
3780-YVMFA;Femenina;0;Si;Si;8;Si;No;DSL;No;No;No;Si;Si;Si;Mes a mes;Si;Cheque electronico;6855;56435;No
3874-EQOEP;Masculino;0;No;No;7;Si;Si;Fibra optica;No;No;No;No;Si;Si;Mes a mes;No;Cheque enviado por correo;95;6555;Si
1679-JRFBR;Femenina;0;Si;Si;70;Si;Si;Fibra optica;Si;Si;Si;No;Si;Si;Un año;Si;Tarjeta de crédito (automática);10815;793055;No
9073-ZZIAY;Masculino;0;Si;Si;62;Si;No;DSL;Si;Si;Si;Si;Si;Si;Dos años;No;Cheque electronico;861;521525;No
3077-RSNTJ;Femenina;0;Si;Si;6;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Mes a mes;No;Cheque enviado por correo;197;1135;No
6551-GNYDG;Femenina;0;Si;Si;14;Si;No;Fibra optica;No;No;No;No;No;Si;Mes a mes;Si;Transferencia bancaria (automática);809;11528;No
9167-APMXZ;Femenina;0;No;No;22;Si;Si;Fibra optica;No;No;No;No;Si;No;Mes a mes;Si;Transferencia bancaria (automática);8415;182195;No
2749-CTKAJ;Masculino;0;Si;Si;22;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Un año;No;Cheque enviado por correo;2015;4199;No
6371-NZYEG;Masculino;0;Si;Si;16;Si;No;DSL;Si;No;Si;No;Si;No;Dos años;No;Cheque enviado por correo;6425;1024;No
7554-NEWDD;Masculino;0;No;No;10;Si;Si;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Transferencia bancaria (automática);257;2516;No
